Citi_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
300,Ayan,RU,56.45,138.1667,20.19,54,95,0.94,overcast clouds
301,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.82,84,23,11.95,few clouds
302,Margate,GB,51.3813,1.3862,47.3,86,93,4.0,light rain
303,Talara,PE,-4.5772,-81.2719,64.63,89,90,14.38,overcast clouds
304,Payo,ID,-3.7508,103.6372,86.95,58,100,1.39,overcast clouds
305,Anloga,GH,5.7947,0.8973,80.53,76,62,7.9,broken clouds
306,Luganville,VU,-15.5333,167.1667,85.55,68,13,10.09,few clouds
307,Lazarev,RU,52.225,141.5131,24.76,79,100,7.45,overcast clouds
308,Jalu,LY,29.0331,21.5482,62.94,32,0,12.03,clear sky
309,Egvekinot,RU,66.3167,-179.1667,23.45,99,100,5.44,snow
310,Pacific Grove,US,36.6177,-121.9166,57.38,76,0,3.44,clear sky
311,Rocha,UY,-34.4833,-54.3333,60.13,90,88,2.51,overcast clouds
312,Jinka,ET,5.65,36.65,63.3,65,25,1.88,scattered clouds
313,Sanchez,DO,19.2281,-69.6137,74.17,92,21,3.83,few clouds
314,Pangnirtung,CA,66.1451,-65.7125,-5.3,92,40,6.29,scattered clouds
315,Griffith,US,41.5284,-87.4237,31.93,72,75,18.41,broken clouds
316,Kholodnyy,RU,62.7167,147.95,-24.16,99,92,0.98,overcast clouds
317,Atar,MR,20.5169,-13.0499,72.32,19,0,8.59,clear sky
318,Sumenep,ID,-7.0167,113.8667,84.16,71,100,4.27,overcast clouds
319,Warmbad,NA,-28.45,18.7333,58.8,37,3,6.29,clear sky
320,Celestun,MX,20.8667,-90.4,76.98,80,76,17.38,broken clouds
321,Galle,LK,6.0367,80.217,78.17,75,92,5.97,overcast clouds
322,Bengkulu,ID,-3.8004,102.2655,82.36,71,91,9.62,overcast clouds
323,Glenwood Springs,US,39.5505,-107.3248,31.01,72,0,13.8,clear sky
324,Taltal,CL,-25.4,-70.4833,63.79,86,45,2.28,scattered clouds
325,Zabol,AF,32.25,67.25,43.23,35,100,3.53,overcast clouds
326,La Reforma,MX,25.0833,-108.05,69.04,68,6,8.12,clear sky
327,North Bend,US,43.4065,-124.2243,49.06,88,0,6.91,clear sky
328,Turki,RU,51.987,43.2731,34.3,100,100,7.2,light snow
